Date and Time (UTC),Receiver,Description,Data
2019-05-31 18:19,VR2AR-547109,Temperature,4.5
2019-05-31 18:24,VR2AR-547109,Temperature,4.5
2019-05-31 18:29,VR2AR-547109,Temperature,4.5
2019-05-31 18:34,VR2AR-547109,Temperature,4.5
2019-05-31 18:39,VR2AR-547109,Temperature,4.6
2019-05-31 18:44,VR2AR-547109,Temperature,4.6
2019-05-31 18:49,VR2AR-547109,Temperature,4.6
2019-05-31 18:54,VR2AR-547109,Temperature,4.6
2019-05-31 18:59,VR2AR-547109,Temperature,4.5
2019-05-31 19:03,VR2AR-547109,Temperature,4.5
2019-05-31 19:08,VR2AR-547109,Temperature,4.5
2019-05-31 19:13,VR2AR-547109,Temperature,4.4
2019-05-31 19:18,VR2AR-547109,Temperature,4.4
2019-05-31 19:23,VR2AR-547109,Temperature,4.4
2019-05-31 19:28,VR2AR-547109,Temperature,4.4
2019-05-31 19:33,VR2AR-547109,Temperature,4.4
2019-05-31 19:38,VR2AR-547109,Temperature,4.4
2019-05-31 19:43,VR2AR-547109,Temperature,4.4
2019-05-31 19:48,VR2AR-547109,Temperature,4.4
2019-05-31 19:53,VR2AR-547109,Temperature,4.4
2019-05-31 19:58,VR2AR-547109,Temperature,4.5
2019-05-31 20:02,VR2AR-547109,Temperature,4.5
2019-05-31 20:07,VR2AR-547109,Temperature,4.5
2019-05-31 20:12,VR2AR-547109,Temperature,4.5
2019-05-31 20:17,VR2AR-547109,Temperature,4.5
2019-05-31 20:22,VR2AR-547109,Temperature,4.5
2019-05-31 20:27,VR2AR-547109,Temperature,4.5
2019-05-31 20:32,VR2AR-547109,Temperature,4.6
2019-05-31 20:37,VR2AR-547109,Temperature,4.6
2019-05-31 20:42,VR2AR-547109,Temperature,4.6
2019-05-31 20:47,VR2AR-547109,Temperature,4.6
2019-05-31 20:52,VR2AR-547109,Temperature,4.7
2019-05-31 20:57,VR2AR-547109,Temperature,4.7
2019-05-31 21:01,VR2AR-547109,Temperature,4.7
2019-05-31 21:06,VR2AR-547109,Temperature,4.7
2019-05-31 21:11,VR2AR-547109,Temperature,4.7
2019-05-31 21:16,VR2AR-547109,Temperature,4.7
2019-05-31 21:21,VR2AR-547109,Temperature,4.7
2019-05-31 21:26,VR2AR-547109,Temperature,4.7
2019-05-31 21:31,VR2AR-547109,Temperature,4.7
2019-05-31 21:36,VR2AR-547109,Temperature,4.7
2019-05-31 21:41,VR2AR-547109,Temperature,4.7
2019-05-31 21:46,VR2AR-547109,Temperature,4.7
2019-05-31 21:51,VR2AR-547109,Temperature,4.7
2019-05-31 21:56,VR2AR-547109,Temperature,4.7
2019-05-31 22:05,VR2AR-547109,Temperature,4.6
2019-05-31 22:10,VR2AR-547109,Temperature,4.5
2019-05-31 22:15,VR2AR-547109,Temperature,4.6
2019-05-31 22:20,VR2AR-547109,Temperature,4.6
2019-05-31 22:25,VR2AR-547109,Temperature,4.6
2019-05-31 22:30,VR2AR-547109,Temperature,4.6
2019-05-31 22:35,VR2AR-547109,Temperature,4.6
2019-05-31 22:40,VR2AR-547109,Temperature,4.6
2019-05-31 22:45,VR2AR-547109,Temperature,4.6
2019-05-31 22:50,VR2AR-547109,Temperature,4.6
2019-05-31 22:55,VR2AR-547109,Temperature,4.6
2019-05-31 23:04,VR2AR-547109,Temperature,4.6
2019-05-31 23:09,VR2AR-547109,Temperature,4.6
2019-05-31 23:14,VR2AR-547109,Temperature,4.6
2019-05-31 23:19,VR2AR-547109,Temperature,4.6
2019-05-31 23:24,VR2AR-547109,Temperature,4.6
2019-05-31 23:29,VR2AR-547109,Temperature,4.6
2019-05-31 23:34,VR2AR-547109,Temperature,4.6
2019-05-31 23:39,VR2AR-547109,Temperature,4.6
2019-05-31 23:44,VR2AR-547109,Temperature,4.6
2019-05-31 23:49,VR2AR-547109,Temperature,4.6
2019-05-31 23:54,VR2AR-547109,Temperature,4.6
2019-05-31 23:59,VR2AR-547109,Temperature,4.6
2019-06-01 2:00,VR2AR-547109,Temperature,4.7
2019-06-01 7:00,VR2AR-547109,Temperature,4.4
2019-06-01 12:00,VR2AR-547109,Temperature,4.5
2019-06-01 17:00,VR2AR-547109,Temperature,4.5
2019-06-01 22:00,VR2AR-547109,Temperature,4.5
2019-06-02 0:04,VR2AR-547109,Temperature,4.5
2019-06-02 0:09,VR2AR-547109,Temperature,4.6
2019-06-02 0:14,VR2AR-547109,Temperature,4.6
2019-06-02 0:19,VR2AR-547109,Temperature,4.6
2019-06-02 0:24,VR2AR-547109,Temperature,4.6
2019-06-02 0:29,VR2AR-547109,Temperature,4.6
2019-06-02 0:34,VR2AR-547109,Temperature,4.6
2019-06-02 0:39,VR2AR-547109,Temperature,4.6
2019-06-02 0:44,VR2AR-547109,Temperature,4.6
2019-06-02 0:49,VR2AR-547109,Temperature,4.6
2019-06-02 0:54,VR2AR-547109,Temperature,4.7
2019-06-02 0:59,VR2AR-547109,Temperature,4.7
2019-06-02 1:03,VR2AR-547109,Temperature,4.7
2019-06-02 1:08,VR2AR-547109,Temperature,4.7
2019-06-02 1:13,VR2AR-547109,Temperature,4.7
2019-06-02 1:18,VR2AR-547109,Temperature,4.7
2019-06-02 1:23,VR2AR-547109,Temperature,4.7
2019-06-02 1:28,VR2AR-547109,Temperature,4.7
2019-06-02 1:33,VR2AR-547109,Temperature,4.7
2019-06-02 1:38,VR2AR-547109,Temperature,4.7
2019-06-02 1:43,VR2AR-547109,Temperature,4.7
2019-06-02 1:48,VR2AR-547109,Temperature,4.7
2019-06-02 1:53,VR2AR-547109,Temperature,4.7
2019-06-02 1:58,VR2AR-547109,Temperature,4.7
2019-06-02 2:02,VR2AR-547109,Temperature,4.7
2019-06-02 2:07,VR2AR-547109,Temperature,4.7
2019-06-02 2:12,VR2AR-547109,Temperature,4.7
2019-06-02 2:17,VR2AR-547109,Temperature,4.7
2019-06-02 2:22,VR2AR-547109,Temperature,4.6
2019-06-02 2:27,VR2AR-547109,Temperature,4.6
2019-06-02 2:32,VR2AR-547109,Temperature,4.6
2019-06-02 2:37,VR2AR-547109,Temperature,4.7
2019-06-02 2:42,VR2AR-547109,Temperature,4.7
2019-06-02 2:47,VR2AR-547109,Temperature,4.7
2019-06-02 2:52,VR2AR-547109,Temperature,4.7
2019-06-02 2:57,VR2AR-547109,Temperature,4.7
2019-06-02 3:01,VR2AR-547109,Temperature,4.7
2019-06-02 3:06,VR2AR-547109,Temperature,4.7
2019-06-02 3:11,VR2AR-547109,Temperature,4.7
2019-06-02 3:16,VR2AR-547109,Temperature,4.7
2019-06-02 3:21,VR2AR-547109,Temperature,4.7
2019-06-02 3:26,VR2AR-547109,Temperature,4.7
2019-06-02 3:31,VR2AR-547109,Temperature,4.7
2019-06-02 3:36,VR2AR-547109,Temperature,4.7
2019-06-02 3:41,VR2AR-547109,Temperature,4.7
2019-06-02 3:46,VR2AR-547109,Temperature,4.7
2019-06-02 3:51,VR2AR-547109,Temperature,4.7
2019-06-02 3:56,VR2AR-547109,Temperature,4.7
2019-06-02 4:05,VR2AR-547109,Temperature,4.7
2019-06-02 4:10,VR2AR-547109,Temperature,4.7
2019-06-02 4:15,VR2AR-547109,Temperature,4.7
2019-06-02 4:20,VR2AR-547109,Temperature,4.7
2019-06-02 4:25,VR2AR-547109,Temperature,4.8
2019-06-02 4:30,VR2AR-547109,Temperature,4.8
2019-06-02 4:35,VR2AR-547109,Temperature,4.8
2019-06-02 4:40,VR2AR-547109,Temperature,4.8
2019-06-02 4:45,VR2AR-547109,Temperature,4.8
2019-06-02 4:50,VR2AR-547109,Temperature,4.8
2019-06-02 4:55,VR2AR-547109,Temperature,4.7
2019-06-02 5:04,VR2AR-547109,Temperature,4.7
2019-06-02 5:09,VR2AR-547109,Temperature,4.7
2019-06-02 5:14,VR2AR-547109,Temperature,4.7
2019-06-02 5:19,VR2AR-547109,Temperature,4.7
2019-06-02 5:24,VR2AR-547109,Temperature,4.7
2019-06-02 5:29,VR2AR-547109,Temperature,4.7
2019-06-02 5:34,VR2AR-547109,Temperature,4.7
2019-06-02 5:39,VR2AR-547109,Temperature,4.7
2019-06-02 5:44,VR2AR-547109,Temperature,4.7
2019-06-02 5:49,VR2AR-547109,Temperature,4.7
2019-06-02 5:54,VR2AR-547109,Temperature,4.7
2019-06-02 5:59,VR2AR-547109,Temperature,4.7
2019-06-02 6:03,VR2AR-547109,Temperature,4.7
2019-06-02 6:08,VR2AR-547109,Temperature,4.7
2019-06-02 6:13,VR2AR-547109,Temperature,4.7
2019-06-02 6:18,VR2AR-547109,Temperature,4.7
2019-06-02 6:23,VR2AR-547109,Temperature,4.7
2019-06-02 6:28,VR2AR-547109,Temperature,4.7
